Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.0.1-192.168.10.50-50004-80-6,172.16.0.1,50004,192.168.10.50,80,6,7/7/2017 3:56,30836,3,6,26,11607,20,0,8.666666667,10.26320288,5755,0,1934.5,2529.124572,377253.8591,291.8666494,3854.5,10550.11049,29959,7,720,360.0,438.4062043,670,50,30829,6165.8,13304.52798,29959,9,0,0,0,0,72,132,97.28888312,194.5777662,0,5755,1163.3,2131.87096,4544873.789,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
192.168.10.16-199.244.48.55-42160-443-6,192.168.10.16,42160,199.244.48.55,443,6,7/7/2017 3:30,23501,24,27,144,56472,6,6,6.0,0.0,4344,0,2091.555556,927.4622668,2409088.975,2170.12042,470.02,2636.028967,18731,1,23425,1018.478261,3891.297083,18866,48,23340,897.6923077,3637.733303,18731,1,0,0,0,0,480,864,1021.233139,1148.887281,0,4344,1088.884615,1243.218809,1545593.006,1,0,0,0,0,0,0,0,1,1110.235294,6.0,2091.555556,480,0,0,0,0,0,0,24,144,27,56472,0,61,23,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.3-192.168.10.5-53-60821-17,192.168.10.5,60821,192.168.10.3,53,17,7/7/2017 3:30,48336,2,2,94,126,47,47,47.0,0.0,63,63,63.0,0.0,4551.473022,82.75405495,16112.0,27861.77798,48284,4,48,48.0,0.0,48,48,4,4.0,0.0,4,4,0,0,0,0,40,40,41.37702747,41.37702747,47,63,53.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,66.75,47.0,63.0,40,0,0,0,0,0,0,2,94,2,126,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
178.255.83.1-192.168.10.5-80-55116-6,192.168.10.5,55116,178.255.83.1,80,6,7/7/2017 3:30,468718,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,25.60174775,4.266957958,468718.0,0.0,468718,468718,468718,468718.0,0.0,468718,468718,0,0.0,0.0,0,0,0,0,0,0,40,0,4.266957958,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,253,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-51858-80-6,172.16.0.1,51858,192.168.10.50,80,6,7/7/2017 3:56,12085,3,5,26,11601,20,0,8.666666667,10.26320288,4380,0,2320.2,2207.341206,962101.7791,661.9776583,1726.428571,4167.368109,11171,48,11450,5725.0,7799.387796,11240,210,12016,3004.0,5638.07816,11456,48,0,0,0,0,72,112,248.2416218,413.7360364,0,4380,1291.888889,1980.710254,3923213.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.0.1-192.168.10.50-52149-80-6,172.16.0.1,52149,192.168.10.50,80,6,7/7/2017 3:56,708992,3,5,26,11607,20,0,8.666666667,10.26320288,10220,0,2321.4,4455.182578,16407.8015,11.2836252,101284.5714,266482.4741,705608,15,2462,1231.0,1248.750576,2114,348,708896,177224.0,352257.2386,705608,188,0,0,0,0,72,112,4.231359451,7.052265752,0,10220,1292.555556,3378.299021,11400000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
192.168.10.3-192.168.10.5-53-55865-17,192.168.10.5,55865,192.168.10.3,53,17,7/7/2017 3:30,179,2,2,68,100,34,34,34.0,0.0,50,50,50.0,0.0,938547.486,22346.36872,59.66666667,61.69548876,126,4,4,4.0,0.0,4,4,49,49.0,0.0,49,49,0,0,0,0,40,40,11173.18436,11173.18436,34,50,40.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,50.5,34.0,50.0,40,0,0,0,0,0,0,2,68,2,100,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-52037-80-6,172.16.0.1,52037,192.168.10.50,80,6,7/7/2017 3:56,72276459,9,6,62,11601,20,0,6.888888889,5.30199124,5840,0,1933.5,2189.772933,161.3665108,0.207536454,5162604.214,16700000.0,62600000,1,72300000,9033067.0,21900000.0,62600000,1,46499,9299.8,15016.50861,34653,45,0,0,0,0,192,132,0.124521872,0.083014582,0,5840,729.3125,1589.473738,2526426.763,0,0,0,0,1,0,0,0,0,777.9333333,6.888888889,1933.5,192,0,0,0,0,0,0,9,62,6,11601,256,229,7,20,245.0,0.0,245,245,36100000.0,37400000.0,62600000,9675543,DDoS
172.16.0.1-192.168.10.50-14353-80-6,172.16.0.1,14353,192.168.10.50,80,6,7/7/2017 3:56,941205,3,6,26,11607,20,0,8.666666667,10.26320288,5840,0,1934.5,2538.919278,12359.68785,9.562210146,117650.625,332336.0281,940140,4,960,480.0,595.3839098,901,59,941186,188237.2,420326.6478,940140,4,0,0,0,0,72,132,3.187403382,6.374806764,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
192.168.10.3-192.168.10.5-53-59063-17,192.168.10.5,59063,192.168.10.3,53,17,7/7/2017 3:30,6425550,6,6,304,700,58,47,50.66666667,5.680375574,124,113,116.6666667,5.680375574,156.2512158,1.867544413,584140.9091,1924582.967,6386876,1,6425375,1285075.0,2852116.975,6387011,3,6425197,1285039.4,2852133.657,6387006,1,0,0,0,0,144,144,0.933772206,0.933772206,47,124,80.84615385,34.91858663,1219.307692,0,0,0,0,0,0,0,0,1,87.58333333,50.66666667,116.6666667,144,0,0,0,0,0,0,6,304,6,700,-1,-1,5,20,38496.0,0.0,38496,38496,6386876.0,0.0,6386876,6386876,BENIGN
192.168.10.3-192.168.10.5-53-49858-17,192.168.10.5,49858,192.168.10.3,53,17,7/7/2017 3:30,245,2,2,94,350,47,47,47.0,0.0,175,175,175.0,0.0,1812244.898,16326.53061,81.66666667,57.44852769,148,48,49,49.0,0.0,49,49,48,48.0,0.0,48,48,0,0,0,0,40,40,8163.265306,8163.265306,47,175,98.2,70.10848736,4915.2,0,0,0,0,0,0,0,0,1,122.75,47.0,175.0,40,0,0,0,0,0,0,2,94,2,350,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-51872-80-6,172.16.0.1,51872,192.168.10.50,80,6,7/7/2017 3:56,869935,3,5,26,11607,20,0,8.666666667,10.26320288,5840,0,2321.4,3173.373883,13372.26344,9.196089363,124276.4286,328483.9924,869208,3,512,256.0,357.7960313,509,3,869916,217479.0,434486.0618,869208,3,0,0,0,0,72,112,3.448533511,5.747555852,0,5840,1292.555556,2554.159212,6523729.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
192.168.10.3-192.168.10.5-53-49461-17,192.168.10.5,49461,192.168.10.3,53,17,7/7/2017 3:30,169,2,2,64,188,32,32,32.0,0.0,94,94,94.0,0.0,1491124.26,23668.63905,56.33333333,56.95904962,117,4,4,4.0,0.0,4,4,48,48.0,0.0,48,48,0,0,0,0,40,40,11834.31953,11834.31953,32,94,56.8,33.95879857,1153.2,0,0,0,0,0,0,0,0,1,71.0,32.0,94.0,40,0,0,0,0,0,0,2,64,2,188,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.1-192.168.10.3-53-62461-17,192.168.10.3,62461,192.168.10.1,53,17,7/7/2017 3:30,23484,1,1,52,68,52,52,52.0,0.0,68,68,68.0,0.0,5109.862034,85.16436723,23484.0,0.0,23484,23484,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,42.58218361,42.58218361,52,68,57.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,86.0,52.0,68.0,32,0,0,0,0,0,0,1,52,1,68,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-15065-80-6,172.16.0.1,15065,192.168.10.50,80,6,7/7/2017 3:57,1840474,3,5,26,11607,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,6320.654353,4.346706338,262924.8571,695139.4991,1839353,5,791,395.5,391.03005,672,119,1840412,460103.0,919500.0758,1839353,5,0,0,0,0,72,112,1.630014877,2.716691461,0,10135,1292.555556,3350.634907,11200000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
192.168.10.1-192.168.10.3-53-62049-17,192.168.10.3,62049,192.168.10.1,53,17,7/7/2017 3:30,77608,1,1,56,72,56,56,56.0,0.0,72,72,72.0,0.0,1649.314504,25.77053912,77608.0,0.0,77608,77608,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,12.88526956,12.88526956,56,72,61.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,92.0,56.0,72.0,20,0,0,0,0,0,0,1,56,1,72,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-14661-80-6,172.16.0.1,14661,192.168.10.50,80,6,7/7/2017 3:57,33643,3,5,26,11601,20,0,8.666666667,10.26320288,5840,0,2320.2,2436.833027,345599.3817,237.7909223,4806.142857,12356.47489,32827,4,32986,16493.0,23318.96743,32982,4,33488,8372.0,16359.01635,32910,62,0,0,0,0,72,112,89.17159587,148.6193265,0,5840,1291.888889,2110.95076,4456113.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
192.168.10.16-199.244.48.55-42350-443-6,192.168.10.16,42350,199.244.48.55,443,6,7/7/2017 3:30,142170,45,54,1319,100063,570,0,29.31111111,112.6125341,4344,0,1853.018519,986.402545,713104.0304,696.3494408,1450.714286,5277.595098,23339,1,142165,3231.022727,7673.445081,23763,1,118913,2243.641509,6445.867621,23815,1,0,0,0,0,1148,1736,316.5224731,379.8269677,0,4344,1013.82,1166.885749,1361622.351,0,0,0,1,0,0,0,0,1,1024.060606,29.31111111,1853.018519,1148,0,0,0,0,0,0,45,1319,54,100063,29200,61,29,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-15015-80-6,172.16.0.1,15015,192.168.10.50,80,6,7/7/2017 3:57,1848262,3,5,26,11601,20,0,8.666666667,10.26320288,4380,0,2320.2,2207.341206,6290.774793,4.328390672,264037.4286,693287.936,1836238,64,11565,5782.5,7989.599521,11432,133,1848198,462049.5,916141.5255,1836238,163,0,0,0,0,72,112,1.623146502,2.70524417,0,4380,1291.888889,1980.710254,3923213.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
192.168.10.25-121.29.54.141-53526-443-6,192.168.10.25,53526,121.29.54.141,443,6,7/7/2017 3:30,263653,2,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,11.37859232,131826.5,186429.41,263652,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,0,0,64,44,7.585728211,3.792864105,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,1,0,65535,130,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-49734-80-6,172.16.0.1,49734,192.168.10.50,80,6,7/7/2017 3:56,6895834,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,4.350452752,0.725075459,1723958.5,3447151.669,6894686,213,6895834,1723958.5,3447151.669,6894686,213,0,0.0,0.0,0,0,0,0,0,0,100,0,0.725075459,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,1148.0,0.0,1148,1148,6894686.0,0.0,6894686,6894686,DDoS
192.168.10.16-52.205.85.186-49324-80-6,192.168.10.16,49324,52.205.85.186,80,6,7/7/2017 3:30,50534,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,39.57731428,50534.0,0.0,50534,50534,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,19.78865714,19.78865714,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,654,325,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.16.0.1-192.168.10.50-15117-80-6,172.16.0.1,15117,192.168.10.50,80,6,7/7/2017 3:57,1757646,3,5,26,11607,20,0,8.666666667,10.26320288,7215,0,2321.4,3327.769794,6618.51135,4.551542233,251092.2857,663916.3516,1756713,5,679,339.5,259.5081887,523,156,1757634,439408.5,878203.0597,1756713,5,0,0,0,0,72,112,1.706828337,2.844713896,0,7215,1292.555556,2650.585648,7025604.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.0.1-192.168.10.50-15133-80-6,172.16.0.1,15133,192.168.10.50,80,6,7/7/2017 3:57,96889,3,4,26,11601,20,0,8.666666667,10.26320288,8760,0,2900.25,4128.319301,120003.3027,72.24762357,16148.16667,34679.97896,86524,51,10106,5053.0,6445.985417,9611,495,96838,32279.33333,47239.22015,86524,189,0,0,0,0,72,92,30.96326724,41.28435633,0,8760,1453.375,3113.952607,9696700.839,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.0.1-192.168.10.50-14360-80-6,172.16.0.1,14360,192.168.10.50,80,6,7/7/2017 3:56,704349,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,16515.96013,9.938255041,117391.5,287025.7504,703280,5,968,484.0,538.8153673,865,103,704329,234776.3333,405736.4097,703280,5,0,0,0,0,72,92,4.259252161,5.679002881,0,11595,1454.125,4097.537534,16800000.0,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.0.1-192.168.10.50-50034-80-6,172.16.0.1,50034,192.168.10.50,80,6,7/7/2017 3:56,81369665,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,0.294950213,0.049158369,27100000.0,47000000.0,81400000,1,81400000,27100000.0,47000000.0,81400000,1,0,0.0,0.0,0,0,0,0,0,0,80,0,0.049158369,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,1009.0,0.0,1009,1009,81400000.0,0.0,81400000,81400000,DDoS
172.16.0.1-192.168.10.50-52172-80-6,172.16.0.1,52172,192.168.10.50,80,6,7/7/2017 3:56,908162,3,5,26,11607,20,0,8.666666667,10.26320288,7215,0,2321.4,3327.769794,12809.38863,8.809001037,129737.4286,342905.5281,907374,4,545,272.5,314.6625176,495,50,908111,227027.75,453564.2305,907374,4,0,0,0,0,72,112,3.303375389,5.505625648,0,7215,1292.555556,2650.585648,7025604.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.0.1-192.168.10.50-14802-80-6,172.16.0.1,14802,192.168.10.50,80,6,7/7/2017 3:57,718014,3,4,26,11601,20,0,8.666666667,10.26320288,8760,0,2900.25,4128.319301,16193.27757,9.749113527,119669.0,284887.7879,701045,46,16689,8344.5,11286.13133,16325,364,717968,239322.6667,399948.9158,701045,185,0,0,0,0,72,92,4.178191512,5.570922015,0,8760,1453.375,3113.952607,9696700.839,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.0.1-192.168.10.50-15187-80-6,172.16.0.1,15187,192.168.10.50,80,6,7/7/2017 3:57,4843902,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,4.954683229,0.825780538,1614634.0,2795768.204,4842909,4,4843902,1614634.0,2795768.204,4842909,4,0,0.0,0.0,0,0,0,0,0,0,80,0,0.825780538,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.0.1-192.168.10.50-49805-80-6,172.16.0.1,49805,192.168.10.50,80,6,7/7/2017 3:56,839789,3,5,26,11607,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,13852.28909,9.526202415,119969.8571,316582.6623,837911,16,1556,778.0,898.0256121,1413,143,839773,209943.25,418645.7756,837911,56,0,0,0,0,72,112,3.572325906,5.953876509,0,10135,1292.555556,3350.634907,11200000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.0.1-192.168.10.50-52179-80-6,172.16.0.1,52179,192.168.10.50,80,6,7/7/2017 3:56,71977293,8,4,56,11601,20,0,7.0,5.656854249,8760,0,2900.25,4128.319301,161.953854,0.166719246,6543390.273,20200000.0,67200000,3,71900000,10300000.0,25200000.0,67200000,3,50289,16763.0,22925.97241,42994,557,0,0,0,0,172,92,0.111146164,0.055573082,0,8760,897.1538462,2488.507044,6192667.308,0,0,0,0,1,0,0,0,0,971.9166667,7.0,2900.25,172,0,0,0,0,0,0,8,56,4,11601,256,229,6,20,4724870.0,0.0,4724870,4724870,67200000.0,0.0,67200000,67200000,DDoS
